technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1055.011,Extra Window Memory Injection,privilege-escalation|stealth,Windows,,,,S0091|S0177,,,,M1040,,,,,10,0,0,1,unknown,,,
T1053.005,Scheduled Task,execution|persistence|privilege-escalation,Windows,,,G0016|G0019|G0021|G0022|G0032|G0034|G0035|G0037|G0038|G0040|G0045|G0046|G0047|G0049|G0050|G0051|G0059|G0060|G0061|G0064|G0067|G0069|G0075|G0080|G0082|G0087|G0091|G0093|G0094|G0095|G0096|G0099|G0102|G0108|G0114|G0117|G0126|G0129|G0142|G1001|G1002|G1003|G1006|G1014|G1016|G1018|G1022|G1034|G1035|G1036|G1039|G1043|G1044|G1053,S0013|S0024|S0038|S0044|S0046|S0050|S0111|S0125|S0126|S0128|S0140|S0147|S0148|S0166|S0167|S0168|S0170|S0184|S0189|S0194|S0198|S0223|S0226|S0237|S0248|S0250|S0251|S0260|S0262|S0264|S0266|S0269|S0331|S0335|S0350|S0360|S0363|S0367|S0368|S0375|S0379|S0382|S0384|S0390|S0396|S0409|S0414|S0417|S0431|S0438|S0439|S0446|S0447|S0449|S0458|S0475|S0476|S0477|S0483|S0500|S0504|S0516|S0527|S0532|S0534|S0538|S0546|S0581|S0584|S0588|S0589|S0603|S0606|S0629|S0632|S0648|S0650|S0671|S0673|S0680|S0688|S0697|S1011|S1013|S1014|S1015|S1018|S1034|S1039|S1042|S1043|S1058|S1064|S1081|S1087|S1088|S1089|S1133|S1135|S1140|S1147|S1149|S1152|S1160|S1166|S1169|S1180|S1182|S1190|S1199|S1207|S1228|S1235|S1236|S1239|S1240|S1242|S1247|S9001|S9019|S9023|S9030|S9031|S9032,C0001|C0004|C0012|C0014|C0017|C0022|C0024|C0030|C0032|C0034|C0044|C0058,,,M1018|M1026|M1028|M1047,,,,,10,0,0,1,unknown,,,
T1205.002,Socket Filters,command-and-control|persistence|stealth,Linux|Windows|macOS,,,,S0587|S1123|S1161|S1224,,,,M1037,,,,,10,0,0,1,unknown,,,
T1066,Indicator Removal from Tools,stealth,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1560.001,Archive via Utility,collection,Linux|Windows|macOS,,,G0004|G0006|G0007|G0010|G0022|G0030|G0045|G0052|G0054|G0059|G0060|G0061|G0064|G0069|G0084|G0087|G0093|G0094|G0096|G0102|G0114|G0117|G0125|G0129|G0143|G1006|G1016|G1017|G1022|G1023|G1024|G1030|G1032|G1039|G1040|G1041|G1048|G1054|G1055,S0062|S0160|S0187|S0192|S0196|S0212|S0260|S0264|S0274|S0278|S0332|S0339|S0340|S0378|S0428|S0439|S0441|S0458|S0466|S0538|S0622|S0647|S1022|S1040|S1043|S1141|S1168|S1210|S1228|S1239|S1245|S1246|S9010|S9035,C0006|C0007|C0012|C0014|C0022|C0024|C0026|C0029|C0040|C0051|C0063,,,M1047,,,,,10,0,0,1,unknown,,,
T1021.005,VNC,lateral-movement,Linux|Windows|macOS,,,G0036|G0046|G0047|G0117,S0266|S0279|S0412|S0484|S0670|S1014|S1160,,,,M1033|M1037|M1042|M1047,,,,,10,0,0,1,unknown,,,
T1047,Windows Management Instrumentation,execution,Windows,,,G0009|G0016|G0019|G0027|G0030|G0032|G0034|G0037|G0038|G0045|G0046|G0047|G0049|G0050|G0059|G0061|G0065|G0069|G0093|G0096|G0099|G0102|G0108|G0112|G0114|G0119|G0129|G0143|G1003|G1006|G1016|G1017|G1018|G1021|G1022|G1032|G1043|G1044|G1047|G1051|G1054|G1055,S0062|S0089|S0151|S0154|S0156|S0184|S0194|S0223|S0237|S0241|S0250|S0251|S0256|S0264|S0265|S0267|S0270|S0283|S0331|S0339|S0340|S0357|S0363|S0365|S0366|S0367|S0368|S0373|S0375|S0376|S0378|S0380|S0381|S0386|S0396|S0449|S0457|S0476|S0483|S0488|S0496|S0532|S0534|S0546|S0553|S0559|S0568|S0589|S0603|S0605|S0616|S0617|S0618|S0640|S0650|S0654|S0663|S0673|S0674|S0688|S0692|S0698|S1028|S1032|S1039|S1044|S1063|S1064|S1066|S1068|S1070|S1081|S1085|S1086|S1111|S1124|S1129|S1130|S1139|S1141|S1152|S1155|S1160|S1178|S1193|S1199|S1228|S1239|S1242|S9020|S9026|S9031|S9035,C0001|C0007|C0014|C0015|C0018|C0022|C0024|C0025|C0027|C0038|C0058|C0060,,,M1018|M1026|M1038|M1040,,,,,10,0,0,1,unknown,,,
T1687,Exploitation for Defense Impairment,defense-impairment,IaaS|Linux|SaaS|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1156,Malicious Shell Modification,persistence,Linux|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1113,Screen Capture,collection,Linux|Windows|macOS,,,G0007|G0035|G0043|G0046|G0047|G0049|G0059|G0060|G0069|G0070|G0087|G0091|G0094|G0115|G1017|G1019|G1035|G1044|G1055,S0004|S0013|S0017|S0021|S0023|S0030|S0032|S0044|S0050|S0062|S0086|S0088|S0089|S0090|S0094|S0098|S0113|S0115|S0128|S0143|S0147|S0148|S0151|S0152|S0153|S0154|S0161|S0163|S0167|S0182|S0184|S0187|S0192|S0194|S0198|S0199|S0203|S0213|S0216|S0217|S0223|S0234|S0235|S0240|S0248|S0251|S0257|S0260|S0261|S0265|S0270|S0271|S0273|S0275|S0277|S0279|S0282|S0283|S0330|S0331|S0332|S0337|S0338|S0339|S0340|S0344|S0348|S0351|S0356|S0363|S0375|S0379|S0380|S0381|S0385|S0386|S0387|S0398|S0409|S0412|S0417|S0428|S0431|S0437|S0438|S0454|S0455|S0456|S0458|S0467|S0476|S0484|S0495|S0533|S0546|S0582|S0591|S0592|S0593|S0622|S0629|S0631|S0633|S0643|S0644|S0647|S0649|S0652|S0657|S0658|S0660|S0662|S0663|S0667|S0674|S0680|S0681|S0686|S0692|S1016|S1034|S1044|S1050|S1059|S1060|S1063|S1064|S1065|S1081|S1087|S1090|S1107|S1122|S1142|S1148|S1149|S1153|S1156|S1159|S1185|S1196|S1201|S1207|S1209|S1213|S1229|S1239|S1240|S9007|S9020|S9031,C0063,,,,,,,,10,0,0,1,unknown,,,
